,plant_id,name_e,family,genus,species,eatr,medr,care,eat,med,others,name_k
150,150,English Lavender,Lamiaceae|Labiatae,Lavandula,angustifolia,2,6,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,Condiment|Tea,Antianxiety|Antihalitosis|Antiseptic|Antispasmodic|Appetizer|Aromatherapy|Aromatic|Carminative|Cholagogue|Diuretic|Nervine|Sedative|Stimulant|Stomachic|Tonic,Companion|Essential|Hedge|Incense|Repellent,라벤더
151,151,Melilot,Fabaceae|Leguminosae,Melilotus,officinalis,2,6,Welldrainedsoil|MoistSoil|Fullsun,Condiment,Antispasmodic|Aromatic|Carminative|Diuretic|Emollient|Expectorant|Ophthalmic|Vulnerary,Repellent,옐로우스위트클로버
152,152,Sweet Cicely,Apiaceae|Umbelliferae,Myrrhis,odorata,4,6,FullyHardy|MoistSoil|Semi|Fullsun,Tea,Antiseptic|Aromatic|Carminative|Expectorant|Stomachic,Polish,시슬리
153,153,Bush Basil,Lamiaceae|Labiatae,Ocimum,minimum,4,6,Tender|MoistSoil|Fullsun,Condiment|Drink|Tea,Antispasmodic|Aromatic|Carminative|Galactogogue|Ophthalmic|Stomachic|Warts,Essential|Repellent,부쉬바질
154,154,Rosemary,Lamiaceae|Labiatae,Rosmarinus,officinalis,3,6,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,Condiment|Tea,Antiseptic|Antispasmodic|Appetizer|Aromatherapy|Aromatic|Astringent|Cardiac|Carminative|Cholagogue|Diaphoretic|Emmenagogue|Nervine|Ophthalmic|Stimulant|Stomachic|Tonic,Dye|Essential|Hair|Hedge|Hedge|Incense|Repellent,로즈마리
155,155,Summer Savory,Lamiaceae,Satureja,hortensis,3,4,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,Condiment|Tea,Antirheumatic|Antiseptic|Aromatic|Carminative|Digestive|Expectorant|Stings|Stomachic,Essential|Repellent,세이보리
156,156,Goldenrod,Asteraceae|Compositae,Solidago,virgaurea,1,6,FullyHardy|Welldrainedsoil|MoistSoil|Semi|Fullsun,Tea,Anthelmintic|Anticoagulant|Antifungal|Antiinflammatory|Antirheumatic|Antiseptic|Aromatic|Astringent|Carminative|Diaphoretic|Diuretic|Febrifuge|Hypoglycaemic|Stimulant|TB|Urinary,Dye,울릉미역취
157,157,African Marigold,Asteraceae|Compositae,Tagetes,erecta,3,6,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,Colouring|Condiment,Anthelmintic|Aromatic|Carminative|Digestive|Diuretic|Dysentery|Eczema|Emmenagogue|Laxative|Ophthalmic|Sedative|Skin|Stomachic,Companion|Dye|Insecticide|Repellent,메리골드
158,158,Muster-John-Henry,Asteraceae|Compositae,Tagetes,minuta,2,4,HalfHardy|Welldrainedsoil|MoistSoil|Fullsun,Condiment,Anthelmintic|Antispasmodic|Aromatic|Diaphoretic|Digestive|Diuretic|Purgative|Stomachic,Companion|Dye|Essential|Herbicide|Insecticide|Repellent,청하향초
159,159,French Marigold,Asteraceae|Compositae,Tagetes,patula,2,4,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,Colouring|Condiment|Drink,Aromatic|Digestive|Diuretic|Dysentery|Sedative,Companion|Dye|Essential|Insecticide|Repellent,만수국
